"Timestamp","What is your age?","What is your gender?","How often do you use social media in general?","Do you use TikTok?","Approximately how many hours per day do you spend watching content on TikTok?","How often do you see content related to products on TikTok or social media in general?","Have you discovered products through TikTok?","I worry about missing out on experiences or popular trends on social media.","I feel the need to keep up with what others consume or recommend.","I feel uncomfortable not knowing which products or trends are currently popular.","I usually check social media so I do not miss new trends or updates.","When I see something go viral, I feel curious to try it.","I am more attracted to products that seem limited or exclusive.","If a product is about to sell out, I feel more like buying it.","Limited editions are more interesting to me than regular products.","I feel urgency to buy when I see that something is hard to get.","I perceive that some products on social media are available for a limited time.","I have bought products without planning to after seeing them on social media.","Sometimes I buy things because they are trendy, even if I do not need them.","I tend to give in to the moment when I see attractive products online.","I have bought products because I was afraid they would sell out or disappear.","TikTok influences my purchase decisions.","I trust the product recommendations I see on TikTok.","I have bought products specifically because I saw them on TikTok.","Have you bought any product in the last 3 months because of TikTok?","How often do you buy products influenced by TikTok?"
"2026/04/23 5:15:30 pm EET","22-25","Female","Several times a day","Yes","1–2 hours","Sometimes","Yes","3","3","4","2","3","3","1","3","2","2","4","2","2","2","3","3","3","Yes","Rarely"
"2026/04/23 5:46:21 pm EET","18-21","Female","Several times a day","No","Less than 30 minutes","Very frequently","No","3","1","1","1","2","3","4","3","2","3","3","1","1","1","1","3","1","No","Never"
"2026/04/23 6:26:12 pm EET","22-25","Male","Several times a day","No","Less than 30 minutes","Sometimes","No","2","2","1","4","2","4","2","5","4","3","4","1","4","1","1","1","1","No","Never"
"2026/04/23 6:32:58 pm EET","18-21","Female","Several times a day","Yes","30 min – 1 hour","Frequently","Yes","3","2","1","2","5","3","1","3","2","3","1","4","2","1","3","4","4","Yes","Rarely"
"2026/04/23 8:32:18 pm EET","18-21","Male","Several times a day","Yes","1–2 hours","Rarely","No","3","2","1","1","4","2","3","1","1","1","1","1","1","1","1","1","1","No","Rarely"
"2026/04/23 8:36:53 pm EET","18-21","Female","Several times a day","Yes","More than 2 hours","Rarely","No","1","1","1","1","2","2","1","1","1","1","2","2","1","1","1","1","1","No","Never"
"2026/04/23 9:48:58 pm EET","18-21","Male","Several times a day","No","Less than 30 minutes","Very frequently","No","2","1","1","1","2","1","1","3","2","1","1","1","1","1","1","1","1","No","Never"
"2026/04/24 3:56:30 am EEST","26-30","Female","Several times a day","Yes","Less than 30 minutes","Frequently","No","4","5","1","1","3","3","3","4","2","3","3","4","3","2","2","3","2","No","Rarely"
"2026/04/24 5:21:20 am EEST","18-21","Female","Several times a day","Yes","1–2 hours","Sometimes","Yes","3","3","2","3","4","2","2","3","2","3","3","2","2","2","3","3","3","Yes","Rarely"
"2026/04/24 5:40:32 am EEST","31-40","Male","Several times a day","Yes","Less than 30 minutes","Frequently","Yes","1","2","1","5","1","5","3","4","3","3","5","1","1","3","1","1","1","No","Never"
"2026/04/24 10:18:44 am EEST","18-21","Male","Several times a day","Yes","Less than 30 minutes","Frequently","Yes","1","1","3","2","4","5","1","5","1","2","1","1","3","1","3","4","1","No","Never"
"2026/04/24 12:56:41 pm EEST","18-21","Female","Several times a day","Yes","More than 2 hours","Very frequently","Yes","4","4","3","5","5","5","5","5","5","3","3","4","4","5","5","5","5","Yes","Very frequently"
"2026/04/28 5:07:30 pm EEST","18-21","Female","Several times a day","Yes","30 min – 1 hour","Sometimes","No","2","2","3","4","1","3","1","1","1","1","1","1","1","1","2","3","2","No","Sometimes"
"2026/04/28 5:30:20 pm EEST","22-25","Female","Several times a day","No","Less than 30 minutes","Sometimes","No","2","1","1","4","2","3","4","5","3","5","4","3","1","2","1","1","1","No","Rarely"
"2026/04/28 5:36:14 pm EEST","22-25","Female","Several times a day","Yes","More than 2 hours","Frequently","Yes","1","3","1","3","2","1","3","1","1","1","4","2","2","1","4","3","3","No","Rarely"
"2026/05/01 4:34:10 pm EEST","22-25","Female","Several times a day","Yes","30 min – 1 hour","Very frequently","Yes","4","4","3","3","4","5","5","5","4","4","5","5","5","3","4","4","5","Yes","Sometimes"